iter	MultiQuantile:alpha=0.1,0.5,0.9
0	8.626277826
1	8.006341012
2	7.462512248
3	6.945691271
4	6.506704928
5	6.153109454
6	5.764953588
7	5.434440048
8	5.139845188
9	4.901426824
10	4.666364487
11	4.437737096
12	4.235774582
13	4.054060675
14	3.864612402
15	3.702891492
16	3.549516402
17	3.424469296
18	3.316049559
19	3.195954037
20	3.086232044
21	2.987342079
22	2.896243026
23	2.814740707
24	2.741191621
25	2.676236017
26	2.620760465
27	2.560521475
28	2.510535107
29	2.46208957
30	2.423631907
31	2.372787977
32	2.326578713
33	2.282749829
34	2.240522847
35	2.19818114
36	2.161992565
37	2.133381413
38	2.098783704
39	2.071369662
40	2.039343808
41	2.010936755
42	1.99326122
43	1.967168839
44	1.942684635
45	1.918675868
46	1.901473881
47	1.886348976
48	1.865341216
49	1.843134086
50	1.823844038
51	1.800176162
52	1.783646233
53	1.765073742
54	1.748885155
55	1.732390757
56	1.719392882
57	1.704144452
58	1.691419398
59	1.672567608
60	1.663049346
61	1.650413194
62	1.633436472
63	1.621093527
64	1.611127367
65	1.598622548
66	1.587145541
67	1.572014534
68	1.556261374
69	1.544545887
70	1.531838838
71	1.523237517
72	1.512346899
73	1.500709338
74	1.488166069
75	1.476208196
76	1.465679893
77	1.457999634
78	1.447087252
79	1.436381705
80	1.427045456
81	1.419401451
82	1.411318564
83	1.404200834
84	1.39611437
85	1.391602797
86	1.385404073
87	1.377716991
88	1.367358103
89	1.362791839
90	1.349954042
91	1.338069484
92	1.328546616
93	1.32017902
94	1.311684626
95	1.303611851
96	1.295876977
97	1.290788063
98	1.281507556
99	1.273048188
100	1.268402331
101	1.25976917
102	1.252594148
103	1.245524506
104	1.234334584
105	1.223816663
106	1.21799539
107	1.211045434
108	1.201055255
109	1.19107014
110	1.186239268
111	1.181354723
112	1.172887912
113	1.159424022
114	1.155379217
115	1.150311907
116	1.146463451
117	1.138595397
118	1.130851239
119	1.126580746
120	1.118743113
121	1.111485495
122	1.102910649
123	1.098752136
124	1.09503449
125	1.086696755
126	1.082349006
127	1.077814945
128	1.066392475
129	1.06140969
130	1.057419207
131	1.052091656
132	1.041697915
133	1.034165635
134	1.026630338
135	1.021645806
136	1.01597998
137	1.012105108
138	1.008346694
139	1.004333878
140	0.9993013175
141	0.9939447601
142	0.9909484368
143	0.9862495948
144	0.9800170018
145	0.9755649992
146	0.9711183757
147	0.9642758306
148	0.9588762692
149	0.9550720091
150	0.9472744239
151	0.9431703971
152	0.93513716
153	0.9311986209
154	0.9274597613
155	0.9230669775
156	0.9189482339
157	0.915440756
158	0.9112576595
159	0.90648788
160	0.9025307228
161	0.8990433613
162	0.8960700297
163	0.8910404978
164	0.8879975952
165	0.8835466086
166	0.8801274981
167	0.8768001752
168	0.8732190544
169	0.8705674673
170	0.8640357077
171	0.8619144332
172	0.8596732455
173	0.8560240582
174	0.8497425513
175	0.8478521829
176	0.844113777
177	0.8409433819
178	0.8392682416
179	0.8358022623
180	0.8305952878
181	0.8277559232
182	0.825614424
183	0.8241979773
184	0.8177576704
185	0.8137435478
186	0.8117033292
187	0.8086449529
188	0.8063216761
189	0.8031434036
190	0.7971250355
191	0.7945468033
192	0.791587905
193	0.7882696427
194	0.7830468174
195	0.7808363103
196	0.7788863589
197	0.7773035593
198	0.7739466165
199	0.7727254271
